"Stadtteil","Jahr","Hauptwohnung","männlich (%)","weiblich (%)"
"Innenstadt-Ost","2007",5659,53.9,46.1
"Innenstadt-Ost","2008",5890,54.8,45.2
"Innenstadt-Ost","2009",5918,55.1,44.9
"Innenstadt-Ost","2010",5988,54.9,45.1
"Innenstadt-Ost","2011",6152,55.6,44.4
"Innenstadt-Ost","2012",6311,55.3,44.7
"Innenstadt-Ost","2013",6482,54.8,45.2
"Innenstadt-Ost","2014",6599,54.8,45.2
"Innenstadt-Ost","2015",6660,54.4,45.6
"Innenstadt-Ost","2016",6725,55.5,44.5
"Innenstadt-Ost","2017",6729,55.6,44.4
"Innenstadt-Ost","2018",6724,55.7,44.3
"Innenstadt-Ost","2019",6727,56.0,44.0
"Innenstadt-Ost","2020",6469,55.8,44.2
"Innenstadt-Ost","2021",6342,56.2,43.8
"Innenstadt-West","2007",8654,52.8,47.2
"Innenstadt-West","2008",8769,53.3,46.7
"Innenstadt-West","2009",8977,53.0,47.0
"Innenstadt-West","2010",9111,53.5,46.5
"Innenstadt-West","2011",9316,54.0,46.0
"Innenstadt-West","2012",9575,54.1,45.9
"Innenstadt-West","2013",9848,54.5,45.5
"Innenstadt-West","2014",9934,54.5,45.5
"Innenstadt-West","2015",10050,54.3,45.7
"Innenstadt-West","2016",10283,55.3,44.7
"Innenstadt-West","2017",10329,55.8,44.2
"Innenstadt-West","2018",10348,55.5,44.5
"Innenstadt-West","2019",10232,54.9,45.1
"Innenstadt-West","2020",9681,55.3,44.7
"Innenstadt-West","2021",9636,55.4,44.6
"Südstadt","2007",15028,51.7,48.3
"Südstadt","2008",15370,51.8,48.2
"Südstadt","2009",15758,52.6,47.4
"Südstadt","2010",16505,52.5,47.5
"Südstadt","2011",16891,52.8,47.2
"Südstadt","2012",17679,53.1,46.9
"Südstadt","2013",18333,53.3,46.7
"Südstadt","2014",18870,53.4,46.6
"Südstadt","2015",19314,53.5,46.5
"Südstadt","2016",20121,53.5,46.5
"Südstadt","2017",20388,53.7,46.3
"Südstadt","2018",20556,53.6,46.4
"Südstadt","2019",20423,53.5,46.5
"Südstadt","2020",20048,53.5,46.5
"Südstadt","2021",19747,53.6,46.4
"Südweststadt","2007",18568,48.4,51.6
"Südweststadt","2008",18818,48.6,51.4
"Südweststadt","2009",18925,48.9,51.1
"Südweststadt","2010",19336,49.2,50.8
"Südweststadt","2011",19453,49.1,50.9
"Südweststadt","2012",19556,49.6,50.4
"Südweststadt","2013",19832,49.8,50.2
"Südweststadt","2014",20176,49.9,50.1
"Südweststadt","2015",20364,49.7,50.3
"Südweststadt","2016",20709,50.0,50.0
"Südweststadt","2017",20828,50.1,49.9
"Südweststadt","2018",20969,50.5,49.5
"Südweststadt","2019",20836,50.7,49.3
"Südweststadt","2020",20695,50.7,49.3
"Südweststadt","2021",20509,50.7,49.3
"Weststadt","2007",18885,48.8,51.2
"Weststadt","2008",19087,48.9,51.1
"Weststadt","2009",19057,49.1,50.9
"Weststadt","2010",19337,49.4,50.6
"Weststadt","2011",19539,50.1,49.9
"Weststadt","2012",19684,50.4,49.6
"Weststadt","2013",19826,50.5,49.5
"Weststadt","2014",20028,50.7,49.3
"Weststadt","2015",20102,50.9,49.1
